,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
20/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2004,,,-1437,32820,34257,1225,,,5940.08024019,25544.24750989,6602.27832272,13001.88894697,-2143.09846595,7275.81038764,,,,,,,,,,,60.9,71.7,57.6,55.9,53.9,9418.90885359,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,58.2,39.2,,60.6,,,,,,,,,,,,,,,,,,,5234.19,3797.19,-1437,49.1,,,,,,,,,,,,,,,,,,,,,,,,
02/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,4.5,5.1,4.8,4.9,5.35,5.1,5.2,5.45,5.25,5.3,5.3,5.35,5.4,5.45,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,5.1,4.8,4.9,5.35,5.1,5.2,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,5.1,4.8,4.9,5.35,5.1,5.2,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,5.1,4.8,4.9,5.35,5.1,5.2,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,5.1,4.8,4.9,5.35,5.1,5.2,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,5.1,4.8,4.9,5.35,5.1,5.2,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,5.1,4.8,4.9,5.35,5.1,5.2,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,5.1,4.8,4.9,5.35,5.1,5.2,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.9,5.2,4.9,5.35,5.05,5.1,5.45,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.9,5.2,4.9,5.35,5.05,5.1,5.45,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.9,5.2,4.9,5.35,5.05,5.1,5.45,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.9,5.2,4.9,5.35,5.05,5.1,5.45,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.9,5.2,4.9,5.35,5.05,5.1,5.45,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.9,5.2,4.9,5.35,5.05,5.1,5.45,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.9,5.2,4.9,5.35,5.05,5.1,5.45,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.88,5.22,4.9,5.32,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.88,5.22,4.9,5.32,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.88,5.22,4.9,5.32,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.88,5.22,4.9,5.32,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.88,5.22,4.9,5.32,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.88,5.22,4.9,5.32,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.88,5.22,4.9,5.32,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.7,5.22,4.9,5.25,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.7,5.22,4.9,5.25,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.7,5.22,4.9,5.25,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.7,5.22,4.9,5.25,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2004,,,-671,33220,33890,1907.4,,,7727.41147461,25319.94525888,4210.87796772,13381.65581655,-2040.17411842,7899.94681471,5.13123638,12.30412198,6.43071409,7.42177126,10.40759987,,5.41326285,2.22897538,6.67435481,,58.8,69,55.6,52.6,53.1,9940.12093313,,4.42,4.52,4.7,5.22,4.9,5.25,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,56.6,40.7,,58,157261.9,91778.3,,,,,,,,,,,,,,,,,6357.76,5686.76,-671,50.2,,,,,,,,,,,,,,,,,,,,,,,,
02/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.7,5.22,4.9,5.25,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.52,4.7,5.22,4.9,5.25,5.05,5.1,5.48,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.35,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.01,4.4,4.45,4.55,5,5.3,5.1,5.5,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
