,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
12/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,
13/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,
14/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,
15/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,
16/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,4.2,5.1,4.45,5.25,5,5.05,5.1,5.4,5.3,5.35,5.35,5.4,5.45,5.5,5.55,,,
17/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.01,4.4,5.2,4.9,4.95,5,5.3,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
18/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.01,4.4,5.2,4.9,4.95,5,5.3,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
19/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.01,4.4,5.2,4.9,4.95,5,5.3,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
20/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.01,4.4,5.2,4.9,4.95,5,5.3,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
21/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.01,4.4,5.2,4.9,4.95,5,5.3,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
22/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.01,4.4,5.2,4.9,4.95,5,5.3,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
23/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.01,4.4,5.2,4.9,4.95,5,5.3,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
24/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.1,4.4,5.2,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
25/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.1,4.4,5.2,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
26/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.1,4.4,5.2,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
27/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.1,4.4,5.2,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
28/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.1,4.4,5.2,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
29/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.1,4.4,5.2,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
30/09/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,5.1,4.4,5.2,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
01/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,,49.4,51.1,47.3,72.4,55.6,,,,,,,,,,,,,,,8898.34,4762.34,-4136,,45.3,53.8,,53.2,,,35674,39810,-4136,1540,,,7317.32042495,27915.26739462,5703.97176906,14893.97520061,-2555.34723182,7758.74916052,10314.09639234,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
02/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
03/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
04/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
05/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
06/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
07/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
08/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
09/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
10/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
11/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
12/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
13/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
14/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
15/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
16/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
17/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
18/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
19/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
20/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
21/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.15,4.25,5.3,4.55,4.9,4.95,5,5.4,5.25,5.3,5.35,5.4,5.45,5.5,5.55,,,
22/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,5,5.4,5.1,5.35,5.35,5.35,5.35,5.35,5.35,,,
23/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,5,5.4,5.1,5.35,5.35,5.35,5.35,5.35,5.35,,,
24/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,5,5.4,5.1,5.35,5.35,5.35,5.35,5.35,5.35,,,
25/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,5,5.4,5.1,5.35,5.35,5.35,5.35,5.35,5.35,,,
26/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,5,5.4,5.1,5.35,5.35,5.35,5.35,5.35,5.35,,,
27/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,5,5.4,5.1,5.35,5.35,5.35,5.35,5.35,5.35,,,
28/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,5,5.4,5.1,5.35,5.35,5.35,5.35,5.35,5.35,,,
29/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,4.75,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
30/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,4.75,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
31/10/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,4.75,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
01/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,50.1,51.4,46.3,68.2,54.2,,,,,,,,,,,,,,,7680.82,1782.82,-5898,,46.7,53.4,,52.3,,,33286,39184,-5898,1442.2,,,4244.0297087,25605.3132679,6220.47721591,15140.80634328,-2461.05509307,7680.76246657,10141.81755964,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,4.75,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
02/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,4.75,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
03/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,4.75,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
04/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.46,4.25,5.3,4.5,4.7,4.75,4.75,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
05/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
06/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
07/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
08/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
09/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
10/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
11/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
12/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
13/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
14/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.3,4.05,4.3,4.6,4.6,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
15/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.25,4.25,4.25,4.25,4.25,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
16/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.25,4.25,4.25,4.25,4.25,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
17/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.25,4.25,4.25,4.25,4.25,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
18/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,4,4.25,5.25,4.25,4.25,4.25,4.25,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
19/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
20/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
21/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
22/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
23/11/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4,4,5.25,4,4,4,4,5.5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,,,
